,minimum,maximum
MAR00697,-1000.0,1000.0
MAR00698,-1000.0,1000.0
MAR00699,-1000.0,1000.0
MAR00700,-1000.0,1000.0
MAR00701,-1000.0,1000.0
MAR00702,-1000.0,1000.0
MAR00704,-1000.0,1000.0
MAR00711,0.0,0.0
MAR00714,-1000.0,1000.0
MAR00720,-1000.0,1000.0
MAR00721,-1000.0,1000.0
MAR00722,-1000.0,1000.0
MAR01869,-1000.0,1000.0
MAR01871,-1000.0,1000.0
MAR01873,-1000.0,1000.0
MAR01912,-1000.0,1000.0
MAR01918,-1000.0,0.0
MAR01921,-1000.0,1000.0
MAR01922,-1000.0,1000.0
MAR01923,-1000.0,1000.0
MAR01938,-1000.0,1000.0
MAR01939,-1000.0,1000.0
MAR01946,-1000.0,1000.0
MAR01947,-1000.0,1000.0
MAR01954,-1000.0,0.0
MAR01955,-1000.0,1000.0
MAR01956,-1000.0,0.0
MAR01957,-1000.0,1000.0
MAR01961,-1000.0,0.0
MAR01964,-1000.0,1000.0
MAR01965,-1000.0,1000.0
MAR01966,0.0,1000.0
MAR01972,-1000.0,1000.0
MAR01975,-1000.0,0.0
MAR01984,-1000.0,0.0
MAR01986,-1000.0,1000.0
MAR04092,-1000.0,1000.0
MAR04094,-1000.0,1000.0
MAR04096,-1000.0,1000.0
MAR04098,-1000.0,1000.0
MAR04100,-1000.0,1000.0
MAR04102,-37.68010413138061,7.045391935433888
MAR04104,-38.131903941109385,7.129666958585008
MAR04110,-594.793920229833,11.161800706698944
MAR04117,-5.948748201811701,1.1145103921797068
MAR04119,-39.261738131957216,7.340396031252547
MAR04129,-19.65513466432964,3.679260232948808
MAR04138,-25.60548139040689,4.791319595962274
MAR04140,-22.813492027894803,4.269628637089589
MAR04142,-1000.0,500.0
MAR04146,-999.9645000000005,1000.0
MAR04148,-1000.0,1000.0
MAR04150,-1000.0,1000.0
MAR04151,-1000.0,1000.0
MAR04153,-1000.0,1000.0
MAR04154,-1000.0,0.0
MAR04155,0.0,0.0
MAR04157,0.0,0.0
MAR04161,0.0,0.0
MAR04164,-1000.0,0.0
MAR04173,-1000.0,1000.0
MAR04178,-1000.0,1000.0
MAR04181,-999.9999999999999,999.9645000000005
MAR04195,-1000.0,1000.0
MAR04203,-1000.0,1000.0
MAR04213,-1000.0,1000.0
MAR04215,-1000.0,1000.0
MAR04217,-1000.0,1000.0
MAR04221,-1000.0,1000.0
MAR04223,-1000.0,1000.0
MAR04226,0.0,0.0
MAR04229,0.0,0.0
MAR04230,-86.02123080053384,1000.0
MAR04234,-1000.0,1000.0
MAR04236,0.0,0.0
MAR04238,-1000.0,1000.0
MAR04240,-1000.0,0.0
MAR04247,-1000.0,1000.0
MAR04256,-1000.0,1000.0
MAR04258,-1000.0,1000.0
MAR04272,-1000.0,1000.0
MAR04273,-1000.0,1000.0
MAR04286,0.0,1000.0
MAR04289,-1000.0,1000.0
MAR04292,-1000.0,1000.0
MAR04293,-1000.0,1000.0
MAR04294,-1000.0,1000.0
MAR04298,-1000.0,1000.0
MAR04305,-1000.0,1000.0
MAR04307,-1000.0,1000.0
MAR04309,-1000.0,1000.0
MAR04311,-1000.0,1000.0
MAR04322,-1000.0,1000.0
MAR04325,-1000.0,1000.0
MAR04327,-1000.0,0.0
MAR04334,0.0,1000.0
MAR04337,-1000.0,1000.0
MAR04339,-1000.0,1000.0
MAR04341,-1000.0,1000.0
MAR04349,-1000.0,1000.0
MAR04353,-1000.0,1000.0
MAR04357,-1000.0,1000.0
MAR04359,-1000.0,1000.0
MAR04361,0.0,1000.0
MAR04362,0.0,1000.0
MAR04364,-1000.0,1000.0
MAR04366,-1000.0,1000.0
MAR04369,-1000.0,1000.0
MAR04374,-1000.0,1000.0
MAR04376,-1000.0,1000.0
MAR04378,-1000.0,1000.0
MAR04380,-1000.0,1000.0
MAR04382,-1000.0,0.0
MAR04384,-1000.0,1000.0
MAR04389,0.0,1000.0
MAR04392,-1000.0,1000.0
MAR04395,0.0,0.0
MAR04397,0.0,0.0
MAR04405,-1000.0,1000.0
MAR04407,-1000.0,1000.0
MAR04409,-1000.0,1000.0
MAR04815,-1000.0,1000.0
MAR04820,-1000.0,1000.0
MAR04821,-1000.0,1000.0
MAR04822,0.0,1000.0
MAR04823,0.0,1000.0
MAR04824,-1000.0,1000.0
MAR04825,0.0,1000.0
MAR04826,0.0,1000.0
MAR04827,0.0,0.0
MAR04828,-1000.0,1000.0
MAR04829,0.0,1000.0
MAR04830,0.0,1000.0
MAR04853,0.0,1000.0
MAR04857,0.0,0.0
MAR04859,-1000.0,1000.0
MAR04866,-1000.0,1000.0
MAR04869,-1000.0,1000.0
MAR04884,-1000.0,1000.0
MAR04886,-1000.0,1000.0
MAR04889,-1000.0,1000.0
MAR04891,-1000.0,1000.0
MAR04895,-1000.0,1000.0
MAR04897,-1000.0,1000.0
